Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Capital Use Type,Guideway,Guideway Questionable,Stations,Stations Questionable,Administrative Buildings,Administrative Buildings Questionable,Maintenance Buildings,Maintenance Buildings Questionable,Passenger Vehicles,Passenger Vehicles Questionable,Other Vehicles,Other Vehicles Questionable,Fare Collection Equipment,Fare Collection Equipment Questionable,Communication & Information Systems,Communication & Information Systems Questionable,Other,Other Questionable,Reduced Reporter Expenses,Reduced Reporter Questionable,Total,Total Questionable
Madison County Transit District,Pontoon Beach,IL,50146,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,77770,"St. Louis, MO--IL","2,156,323",117,VP,Vanpool,DO,30,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"101,886",,0,,0,,0,,0,,0,,"101,886",
"Area Agency on Aging of Southeast Arkansas, Inc. (SEAT), dba: Southeast Arkansas Transportation",Pine Bluff,AR,60140,Area Agency on Aging,Rural Reporter,2022,,,,117,DR,Demand Response,DO,117,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"61,917",,"61,917",
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,60051,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,20287,"Corpus Christi, TX","339,066",117,MB,Bus,DO,42,Uses of Capital (F-20) - Expansion of Service,0,,"176,245",,0,,0,,0,,0,,0,,0,,0,,0,,"176,245",
Rides Mass Transit District,Harrisburg,IL,50211,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,17,Illinois Non-UZA,"2,638,201",116,MB,Bus,DO,116,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"59,935",,"1,063,645",,"20,000",,"1,380,400",,0,,0,,"235,351",,"279,201",,0,,"3,038,532",
San Joaquin Regional Transit District,Stockton,CA,90012,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,85087,"Stockton, CA","414,847",115,CB,Commuter Bus,DO,5,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,908,238",,0,,0,,0,,0,,0,,"1,908,238",
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",,PA,30014,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,37081,"Harrisburg, PA","490,859",115,MB,Bus,DO,65,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"278,715",,"947,551",,0,,"125,760",,0,,"171,136",,"141,631",,0,,"1,664,793",
San Joaquin Regional Transit District,Stockton,CA,90012,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,85087,"Stockton, CA","414,847",115,MB,Bus,DO,56,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"9,398",,"2,810,904",,0,,0,,"372,525",,"61,567",,"143,358",,0,,"3,397,752",
Bluegrass Community Action Agency,Frankfort,KY,40948,Private-Non-Profit Corporation,Rural Reporter,2022,,,,112,DR,Demand Response,DO,108,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"225,241",,"225,241",
"West Texas Opportunities, Inc.",Lamesa,TX,60243,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,110,DR,Demand Response,DO,110,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"489,435",,"489,435",
Metropolitan Bus Authority,San Juan,PR,40086,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79093,"San Juan, PR","1,844,410",107,MB,Bus,DO,81,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"53,108",,"693,368",,"652,911",,"3,196,242",,0,,"732,903",,"168,211",,"66,811",,0,,"5,563,554",
"Sarasota County , dba: Sarasota County Area Transit",Sarasota,FL,40046,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,9536,"Bradenton--Sarasota--Venice, FL","779,075",107,MB,Bus,DO,30,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"11,495",,0,,0,,0,,"478,052",,"446,079",,"1,169,014",,0,,0,,"2,104,640",
"Arrowhead Economic Opportunity Agency, Inc.",Virginia,MN,50520,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,106,DR,Demand Response,DO,29,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"91,164",,"91,164",
Champaign-Urbana Mass Transit District,Urbana,IL,50060,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,15211,"Champaign, IL","147,452",105,MB,Bus,DO,91,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"305,630",,"242,377",,"1,817,622",,"6,244,398",,"8,875",,0,,"89,702",,"8,107,902",,0,,"16,816,506",
Community Action Development Corporation,Frederick,OK,60165,Private-Non-Profit Corporation,Rural Reporter,2022,,,,105,DR,Demand Response,DO,105,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"552,929",,"552,929",
Mid-Cumberland Human Resource Agency,Nashville,TN,40204,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,60733,"Murfreesboro, TN","177,313",105,DR,Demand Response,DO,102,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"126,234",,"126,234",
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,10064,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,72505,"Providence, RI--MA","1,285,806",104,MB,Bus,PT,34,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"124,460",,0,,0,,"5,378,737",,0,,"263,945",,0,,"794,461",,0,,"6,561,603",
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,10064,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,72505,"Providence, RI--MA","1,285,806",104,DR,Demand Response,PT,70,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"111,690",,"50,840",,0,,0,,0,,"700,614",,"47,234",,0,,"910,378",
South Central Illinois Mass Transit District,Centralia,IL,50327,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,104,DR,Demand Response,DO,90,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"84,806",,"84,806",
Transit Authority of Omaha,Omaha,NE,70002,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,65269,"Omaha, NE--IA","819,508",100,MB,Bus,DO,75,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"1,385,923",,"186,552",,"475,516",,"2,677,726",,0,,"49,800",,"1,874,420",,"1,184,725",,0,,"7,834,662",
El Paso County,El Paso,TX,60179,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,27253,"El Paso, TX--NM","854,584",100,CB,Commuter Bus,PT,17,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"697,160",,"697,160",
Stanislaus Regional Transit Authority,Modesto,CA,90306,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,58006,"Modesto, CA","357,301",100,DR,Demand Response,PT,30,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"13,185",,0,,"664,593",,0,,"54,007",,"109,761",,0,,0,,"841,546",
Stanislaus Regional Transit Authority,Modesto,CA,90306,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,58006,"Modesto, CA","357,301",100,MB,Bus,PT,65,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"7,038",,"116,048",,0,,0,,"522,409",,"396,161",,0,,"1,041,656",
Transit Authority of Omaha,Omaha,NE,70002,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,65269,"Omaha, NE--IA","819,508",100,DR,Demand Response,DO,25,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"11,055",,0,,0,,0,,0,,0,,0,,"11,055",
Stanislaus Regional Transit Authority,Modesto,CA,90306,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,58006,"Modesto, CA","357,301",100,CB,Commuter Bus,PT,5,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,"19,511",,0,,0,,"19,511",
El Paso County,El Paso,TX,60179,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,27253,"El Paso, TX--NM","854,584",100,VP,Vanpool,PT,83,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"327,687",,"327,687",
Stanislaus Regional Transit Authority,Modesto,CA,90306,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,58006,"Modesto, CA","357,301",100,MB,Bus,PT,65,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,"289,901",,0,,"289,901",
Worcester Regional Transit Authority,Worcester,MA,10014,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,97291,"Worcester, MA--CT","482,085",99,DR,Demand Response,PT,32,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"374,306",,0,,0,,0,,0,,0,,"374,306",
Worcester Regional Transit Authority,Worcester,MA,10014,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,97291,"Worcester, MA--CT","482,085",99,DR,Demand Response,DO,10,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"3,490",,"482,422",,0,,0,,"11,969",,"2,569",,0,,"500,450",
Virginia Railway Express,Alexandria,VA,30073,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759",99,CR,Commuter Rail,PT,99,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"13,123,897",,0,,"17,870,268",,"13,152,320",,0,,0,,0,,0,,0,,"44,146,485",
Worcester Regional Transit Authority,Worcester,MA,10014,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,97291,"Worcester, MA--CT","482,085",99,MB,Bus,DO,47,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"546,840",,0,,"66,404",,"7,789,947",,0,,0,,"347,011",,"141,940",,0,,"8,892,142",
Connecticut Department of Transportation - CTTRANSIT New Haven Division,Hartford,CT,10055,State Government Unit or Department of Transportation,Full Reporter,2022,62407,"New Haven, CT","561,456",99,MB,Bus,DO,99,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"140,994",,0,,0,,0,,"264,152",,0,,0,,"405,146",
Upper-Cumberland Human Resource Agency,Cookeville,TN,40978,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,DR,Demand Response,DO,82,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"124,696",,"124,696",
Roaring Fork Transportation Authority,Glenwood Springs,CO,80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,DR,Demand Response,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"59,764",,"59,764",
Roaring Fork Transportation Authority,Glenwood Springs,CO,80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,RB,Bus Rapid Transit,DO,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"7,805,715",,"7,805,715",
Upper-Cumberland Human Resource Agency,Cookeville,TN,40978,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,MB,Bus,DO,16,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"24,331",,"24,331",
Roaring Fork Transportation Authority,Glenwood Springs,CO,80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,CB,Commuter Bus,DO,32,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"9,520,345",,"9,520,345",
Roaring Fork Transportation Authority,Glenwood Springs,CO,80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,98,MB,Bus,DO,37,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"4,212,805",,"4,212,805",
Whatcom Transportation Authority,Bellingham,WA,00021,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,6652,"Bellingham, WA","128,979",96,MB,Bus,DO,47,Uses of Capital (F-20) - Expansion of Service,0,,"163,859",,0,,0,,"447,974",,0,,0,,0,,0,,0,,"611,833",
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,17668,"Cleveland, OH","1,712,178",96,MB,Bus,DO,19,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"18,844",,0,,0,,"405,251",,0,,0,,"22,532",,"51,895",,0,,"498,522",
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,17668,"Cleveland, OH","1,712,178",96,DR,Demand Response,DO,64,Uses of Capital (F-20) - Expansion of Service,0,,0,,"57,204",,"14,076",,0,,0,,0,,0,,0,,0,,"71,280",
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,17668,"Cleveland, OH","1,712,178",96,MB,Bus,DO,19,Uses of Capital (F-20) - Expansion of Service,0,,"609,221",,0,,0,,0,,0,,"14,400",,0,,0,,0,,"623,621",
Whatcom Transportation Authority,Bellingham,WA,00021,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,6652,"Bellingham, WA","128,979",96,MB,Bus,DO,47,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"22,945",,"304,135",,"73,966",,"4,277,690",,"8,387",,0,,"1,660,962",,0,,0,,"6,348,085",
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,17668,"Cleveland, OH","1,712,178",96,CB,Commuter Bus,DO,13,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"135,427",,0,,0,,0,,0,,0,,"38,979",,0,,0,,"174,406",
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,17668,"Cleveland, OH","1,712,178",96,DR,Demand Response,DO,64,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"141,809",,"689,412",,"1,186,712",,"33,485",,0,,"297,040",,0,,0,,"2,348,458",
SunLine Transit Agency,Thousand Palms,CA,90079,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41347,"Indio--Palm Desert--Palm Springs, CA","361,075",95,DR,Demand Response,DO,28,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"500,337",,0,,0,,0,,0,,0,,"500,337",
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,80005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,18856,"Colorado Springs, CO","632,494",95,MB,Bus,PT,52,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"11,750,916",,"5,302,634",,"66,486",,"222,854",,"334,390",,"463,296",,0,,"18,140,576",
SunLine Transit Agency,Thousand Palms,CA,90079,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41347,"Indio--Palm Desert--Palm Springs, CA","361,075",95,MB,Bus,DO,60,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"530,452",,"739,732",,"6,992,714",,"147,105",,0,,"130,824",,0,,0,,"8,540,827",
"Lexington Transit Authority, dba: Lextran",Lexington,KY,40017,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,49582,"Lexington-Fayette, KY","315,631",95,MB,Bus,DO,49,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"209,794",,0,,"2,199,174",,0,,0,,"208,436",,0,,0,,"2,617,404",
Birmingham-Jefferson County Transit Authority,Birmingham,AL,40042,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,7786,"Birmingham, AL","774,956",94,MB,Bus,DO,70,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"60,500",,"103,171",,"12,894",,0,,0,,0,,"576,560",,0,,0,,"753,125",
City of Alexandria,Alexandria,VA,30071,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759",94,MB,Bus,DO,75,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"1,062,421",,0,,0,,"8,878,329",,0,,0,,0,,0,,0,,"9,940,750",
Birmingham-Jefferson County Transit Authority,Birmingham,AL,40042,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,7786,"Birmingham, AL","774,956",94,MB,Bus,DO,70,Uses of Capital (F-20) - Expansion of Service,0,,"12,375,000",,0,,0,,0,,0,,"1,811,710",,0,,0,,0,,"14,186,710",
City of Alexandria,Alexandria,VA,30071,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759",94,MB,Bus,DO,75,Uses of Capital (F-20) - Expansion of Service,0,,"4,823,888",,0,,0,,0,,0,,0,,0,,"3,624,000",,0,,"8,447,888",
Birmingham-Jefferson County Transit Authority,Birmingham,AL,40042,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,7786,"Birmingham, AL","774,956",94,DR,Demand Response,DO,24,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,"192,187",,0,,0,,"192,187",
"Prince George's County, Maryland, dba: Prince George's County Transit",Upper Marlboro,MD,30085,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759",93,MB,Bus,PT,65,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"143,210",,"5,642,934",,0,,0,,"2,271,713",,"1,008,862",,0,,"9,066,719",
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2683,"Antioch, CA","326,205",91,MB,Bus,PT,52,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"47,267",,"151,718",,0,,0,,"42,713",,"86,199",,"160,211",,0,,"488,108",
Minnesota Valley Transit Authority,Burnsville,MN,50519,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,57628,"Minneapolis--St. Paul, MN","2,914,866",91,DR,Demand Response,PT,13,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"70,043",,"27,857",,0,,0,,0,,0,,"97,900",
"Lee County Transit, dba: LeeTran",Fort Myers,FL,40028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,13510,"Cape Coral, FL","599,242",91,MB,Bus,DO,45,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"7,193,860",,0,,"400,483",,"4,243,000",,0,,"103,372",,"32,660",,"212,391",,0,,"12,185,766",
Golden Empire Transit District,Bakersfield,CA,90004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,4681,"Bakersfield, CA","570,235",91,MB,Bus,DO,61,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"18,351",,"2,679,710",,"3,592,736",,"16,850,788",,0,,0,,"610,521",,"1,402,485",,0,,"25,154,591",
"City of Durham, dba: GoDurham",Durham,NC,40087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC","396,118",91,MB,Bus,PT,43,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"5,383,086",,0,,0,,0,,0,,0,,"5,383,086",
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2683,"Antioch, CA","326,205",91,MB,Bus,PT,52,Uses of Capital (F-20) - Expansion of Service,0,,"3,848,632",,0,,0,,0,,0,,0,,0,,0,,0,,"3,848,632",
Golden Empire Transit District,Bakersfield,CA,90004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,4681,"Bakersfield, CA","570,235",91,DR,Demand Response,DO,30,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"60,422",,0,,0,,"3,697",,0,,0,,"64,119",
Minnesota Valley Transit Authority,Burnsville,MN,50519,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,57628,"Minneapolis--St. Paul, MN","2,914,866",91,MB,Bus,PT,78,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"230,598",,0,,"5,235,981",,0,,"278,570",,0,,"320,960",,0,,0,,"6,066,109",
Central Kentucky Community Action Council,Lebanon,KY,41165,Private-Non-Profit Corporation,Rural Reporter,2022,,,,90,DR,Demand Response,DO,90,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"92,772",,"92,772",
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,80362,"Seaside--Monterey--Pacific Grove, CA","123,495",88,MB,Bus,DO,43,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"1,270,614",,0,,"4,658",,"2,529,356",,"5,956,859",,"137,187",,"2,922",,"283,492",,"237,172",,0,,"10,422,260",
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79309,"Santa Clarita, CA","278,031",88,CB,Commuter Bus,PT,22,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"6,618,487",,0,,0,,"1,719,621",,0,,0,,0,,0,,0,,"8,338,108",
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,67140,"Palmdale--Lancaster, CA","359,559",88,MB,Bus,PT,49,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"57,574",,"7,361,215",,"18,040,735",,"133,489",,0,,"211,112",,"291,788",,0,,"26,095,913",
Centre Area Transportation Authority,State College,PA,30054,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,84493,"State College, PA","83,674",88,MB,Bus,DO,56,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"29,986",,"2,114,318",,"66,515",,"15,000",,"112,079",,"22,322",,0,,"2,360,220",
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79309,"Santa Clarita, CA","278,031",88,MB,Bus,PT,44,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"1,065,210",,"2,881,498",,0,,"423,164",,0,,"111,825",,0,,"4,481,697",
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,40051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC","396,118",88,MB,Bus,DO,74,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"710,774",,"3,130,755",,"51,885",,0,,0,,0,,0,,"3,893,414",
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,67140,"Palmdale--Lancaster, CA","359,559",88,DR,Demand Response,PT,19,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"4,881,736",,0,,0,,"62,441",,"223,855",,0,,"5,168,032",
Centre Area Transportation Authority,State College,PA,30054,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,84493,"State College, PA","83,674",88,DR,Demand Response,PT,21,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"252,540",,0,,0,,0,,0,,0,,"252,540",
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79309,"Santa Clarita, CA","278,031",88,DR,Demand Response,PT,22,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"307,576",,0,,0,,0,,0,,0,,"307,576",
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,67140,"Palmdale--Lancaster, CA","359,559",88,CB,Commuter Bus,PT,20,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"5,865,345",,"46,535",,0,,"71,275",,"98,824",,0,,"6,081,979",
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,90041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",87,MB,Bus,DO,42,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"15,684",,0,,"71,002",,"8,273,514",,0,,"5,158",,"151,080",,0,,0,,"8,516,438",
Capital Area Rural Transportation System (CARTS - RURAL),Cedar Creek,TX,66271,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,87,DR,Demand Response,DO,51,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"410,816",,"410,816",
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,90006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79336,"Santa Cruz, CA","169,038",86,MB,Bus,DO,51,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"52,440",,"258,338",,"199,571",,"6,623,605",,"31,840",,0,,"274,760",,"14,984",,0,,"7,455,538",
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,40001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15832,"Chattanooga, TN--GA","398,569",86,MB,Bus,DO,64,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"625,356",,"77,635",,"7,528,613",,0,,0,,"527,040",,0,,0,,"8,758,644",
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,67105,"Palm Bay--Melbourne, FL","510,675",86,MB,Bus,DO,35,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"146,168",,"89,765",,0,,0,,"2,784",,"148,734",,"1,273,785",,0,,"1,661,236",
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,90006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79336,"Santa Cruz, CA","169,038",86,DR,Demand Response,DO,29,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"43,556",,0,,0,,0,,0,,0,,0,,0,,"43,556",
